Month,Sample_Name,Wetland_ID,Point,Generic_Horizon,Horizon,Generic_Name,Number_Name,Munsell_Color,Percent_Silt,Percent_Clay,Percent_Sand,Texture,Horizon_Start_cm,Horizon_End_cm,Layer_Thickness_cm,Tin_Weight_g,Tin_WetSoil_g,Tin_DrySoil_g,Percent_Soil_Moisture,Percent_Soil_Moisture_notin,ETDN_mgN_L,ENO3_mgN_L,EON_mgN_L,EOC_mgC_L,EOC _mgC_gsoil,Bulk_EOC_mgC-cm_L,EOC_EON,EEM_File_Name,Abs_File_Name,Analysis_Date,T,A,C,M,N,FI,HIX,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N,Abs _254nm,Abs_275nm ,Abs_295nm,Abs_350nm,Abs_400nm,SUVA254_L_mg-m,SSR,Percent_Protein,Percent_RI,C1 ,C2_Q2,C3,C4_HQ,C5_SQ1,C6,C7_SQ2,C8_Trypto,C9_SQ3,C10,C11_Q1,C12_Q3,C13_Tyrosine
2020-03,QB Leaf Litter,QB,LL,0 LL,LL,LL,LL,,,,,,,,,1.21,5.87,3.07,150.5376344,91.20521173,1.452876416,0.00175,1.451126416,34.24172706,0.171208635,,23.59665339,eemc_15,2_abs,20200706_Raman.csv,8.103612985,3.655046047,5.76606181,5.340998223,1.712857409,1.429278809,0.491498154,1.517246898,4.73104938,1.405398217,0.451039068,0.633889502,0.684337627,0.926281819,3.366340816,0.816,0.672,0.504,0.22,0.088,2.383057369,1.272727273,0.047760929,0.563246293,0.0581488,0.203333044,0.009696345,0.403533425,0.013656748,0,0.020205618,0.000859164,0.042492894,0.032388877,0.061985561,0.106797759,0.046901766
2020-03,QB Upland O,QB,4 Upland,1 O,O,4 UplandO,4 UplandO,7.5YR 2.5/2,,,,Organic,0,12,12,1.2,11.16,8.91,29.18287938,25.25252525,0.434166732,0.00175,0.432416732,9.209720719,0.046048604,110.5166486,21.29825244,eemc_17,4_abs,20200706_Raman.csv,2.9667944,1.23546324,1.207544957,1.243789234,0.478585632,1.511091221,0.492955045,2.385287088,6.199087894,2.456881116,0.416430353,1.023119871,0.993305944,1.030014847,2.523153381,0.252,0.204,0.156,0.076,0.032,2.736239324,1.090909091,0.051838998,0.426465644,0.073208766,0.259500265,0.017482951,0.233197791,0.026888574,0.02386631,0.050192119,0,0.039189697,0.01415084,0.081071308,0.129412379,0.051838998
2020-03,QB Upland A,QB,4 Upland,2 A,A,4 UplandA,4 UplandA,10YR 4/3,11.88230981,5.447846013,82.66984418,Loamy Sand,12,28,16,1.23,14.42,12.89,13.12178388,11.86966641,0.189203375,0.005458551,0.183744824,3.178231152,0.015891156,50.85169843,17.29698326,eemc_18,1_abs,20200710_Raman.csv,0.919183352,0.749851748,0.452034718,0.492486186,0.311456827,1.641073073,0.427689013,1.866414484,2.951238415,2.0334353,0.815780385,1.658836631,1.522584326,1.089487526,1.451355947,0.055,0.043,0.032,0.014,0.007,1.730522337,1.571428571,0.042165395,0.457586328,0.057256226,0.215097711,0.059925314,0.266237205,0.00825716,0.005409837,0.038911095,0.016197619,0.057290306,0.025132124,0.047256313,0.177061314,0.025967776
2020-03,QB Upland B,QB,4 Upland,3 B,B,4 UplandB,4 UplandB,2.5Y 6/4,10.54229342,7.80222597,81.65548061,Loamy Sand,41,65,24,1.2,15.68,13.79,15.01191422,13.70558376,0.121493903,0.004522388,0.116971515,1.565712858,0.007828564,37.57710858,13.38541999,eemc_19,2_abs,20200710_Raman.csv,0.122954646,0.414709391,0.078637811,0.188077491,0.348458103,1.746621315,0.391486946,0.653744613,0.352853457,1.563556326,3.372864738,5.273663998,2.204992153,2.391692865,0.225673646,0.011,0.008,0.006,0.003,0.001,0.702555385,1,0.096458052,0.318368448,0.062917098,0.100769626,0.019283538,0.210149523,0,0,0.042567097,0.096458052,0.008772539,0,0.025241007,0.43384152,0
2020-03,QB Trasition O,QB,3 Transition,1 O,O,3 TransitionO,3 TransitionO,7.5YR 2.5/2,,,,Organic,0,8.89,8.89,1.21,11.09,5.45,133.0188679,103.4862385,0.72421046,0.00175,0.72246046,17.16104313,0.085805216,152.5616734,23.75360879,eemc_23,6_abs,20200710_Raman.csv,6.409517671,2.435260346,2.563162101,2.618634997,1.006381465,1.45601061,0.545982618,2.447656003,6.368874916,2.500629074,0.3799444,0.950100013,0.929973191,1.021642368,2.546909089,0.456,0.36,0.264,0.116,0.044,2.657181131,1.333333333,0.03924778,0.4320117,0.067830774,0.262180765,0.015299833,0.259986171,0.025347623,0.035337739,0.043411892,0,0.031976691,0.007300986,0.085888335,0.126191411,0.03924778
2020-03,QB Transition A,QB,3 Transition,2 A,A,3 TransitionA,3 TransitionA,10YR 2/1,12.47312023,6.978353607,80.54852617,Loamy Sand,8.9,33.02,24.12,1.22,17.98,13.04,41.79357022,37.88343558,0.362411585,0.02014911,0.342262476,4.935575843,0.024677879,119.0460893,14.42044101,eemc_24,7_abs,20200710_Raman.csv,2.031175966,0.951000879,0.765441997,0.883799318,0.414794084,1.490694724,0.563598253,2.298232104,4.896829642,2.653598801,0.468202113,1.242420565,1.076037127,1.154626113,1.845354181,0.105,0.081,0.059,0.026,0.01,2.127411336,1.375,0.031506325,0.445377076,0.060667491,0.258998737,0.022624879,0.270813301,0.024392113,0.034728318,0.048434206,0,0.035141552,0,0.073746462,0.138946616,0.031506325
2020-03,QB Transition B,QB,3 Transition,3 B,B,3 TransitionB,3 TransitionB,10YR 4/1,11.41808195,13.93307798,74.64884007,Sandy Loam,50,70,20,1.22,21.29,16.17,34.24749164,31.66357452,0.16130156,0.016872539,0.144429021,2.40994478,0.012049724,48.19889559,16.68601479,eemc_25,8_abs,20200710_Raman.csv,0.748533691,0.629538502,0.318232144,0.440887558,0.399561765,1.606259777,0.527822789,1.697788192,1.873386687,2.352162421,0.841028948,1.978236686,1.427889017,1.385427482,0.796452945,0.039,0.03,0.022,0.01,0.005,1.618294341,1.6,0.039693912,0.438461753,0.055115794,0.226799347,0.019540286,0.270462542,0.016859089,0.013722975,0.050082001,0.011082403,0.042156541,0.006263903,0.062407416,0.196896193,0.028611509
2020-03,QB Edge O,QB,2 Edge,1 O,O1,2 EdgeO,2 EdgeO1,10YR 2/2,,,,Organic,0,15,15,1.21,13.2,4.46,268.9230769,195.9641256,0.6937123,0.004774432,0.688937868,12.83744534,0.064187227,192.5616801,18.63367647,eemc_20,3_abs,20200710_Raman.csv,5.564078937,1.941784721,1.751157346,2.051900334,0.71006947,1.46560228,0.544053592,2.711671149,7.835964186,3.177372354,0.348985833,1.108857937,0.946334814,1.171739558,2.466177493,0.31,0.244,0.184,0.084,0.032,2.414810672,1.153846154,0.032180675,0.404421758,0.071185553,0.287878073,0.017276853,0.227353728,0.027684723,0.048715683,0.051155263,0,0.029735675,0,0.084320731,0.122513044,0.032180675
2020-03,QB Edge O,QB,2 Edge,1 O,O2,2 EdgeO,2 EdgeO2,10YR 2/2,,,,Organic,15,30,15,1.16,16.99,8.87,105.3177691,91.54453213,0.54228849,0.235394602,0.306893888,6.369710405,0.031848552,95.54565607,20.7554163,eemc_21,4_abs,20200710_Raman.csv,3.529889292,1.45614656,1.31870734,1.494879568,0.681516632,1.478969647,0.576345138,2.361320181,5.179461695,2.676779893,0.412519045,1.104222685,0.974089546,1.133594637,1.934959878,0.17,0.134,0.1,0.048,0.02,2.668881145,1.214285714,0.026497409,0.467601676,0.05958325,0.265419118,0.020847263,0.291690117,0.025784287,0.034174213,0.049735858,0,0.033947096,0.000993843,0.070907791,0.120419755,0.026497409
2020-03,QB Edge A,QB,2 Edge,2 A,A,2 EdgeA,2 EdgeA,10YR 2/1,4.794523211,7.907849972,87.29762682,Loamy Sand,30,55,25,1.19,17.98,11.74,59.14691943,53.1516184,0.426253215,0.090001277,0.336251939,4.74129653,0.023706483,118.5324133,14.10042883,eemc_22,5_abs,20200710_Raman.csv,2.865761007,1.029595524,0.967297232,1.092654331,0.3714171,1.488138819,0.575594519,2.622751702,7.715748695,2.962647789,0.359274734,1.064404497,0.942288421,1.129595221,2.604342212,0.12,0.092,0.069,0.031,0.013,2.530953279,1.277777778,0.019518582,0.449257539,0.057834436,0.280233251,0.019181152,0.271321722,0.026655848,0.043329982,0.052739702,0,0.035705241,0,0.076349829,0.117130253,0.019518582
