"","Month","Sample_Name","wetland","station","station_distance","ground_elevation","Point","Generic_Horizon","Horizon","Generic_Name","Number_Name","Munsell_Color","Hue","Value","Chroma","Percent_Silt","Percent_Clay","Percent_Sand","Texture","Horizon_Start_cm","Horizon_End_cm","Layer_Thickness_cm","Percent_Soil_Moisture_notin","ETDN_mgN_L","EOC_mgC_L","EOC._mgC_gsoil","FI","HIX","SUVA254_L_mgm","SSR","Percent_Protein","Percent_RI","soil_color"
"1","2020-09","DB Upland O","DB","KW-4U",25.7792,1.628008,"4 Upland","1O","O","4 UplandO","4 Upland3O","7.5YR 2.5/2","7.5YR",2.5,2,NA,NA,NA,"Organic",0,8.89,8.89,58.21094793,0.687310044,12.11236047,0.403745349,1.522419496,0.478298755,2.130055498,1.421052632,0.049273444,0.407913937,"#3F2E23FF"
"2","2020-09","DB Upland A","DB","KW-4U",25.7792,1.628008,"4 Upland","2A","A","4 UplandA","4 Upland2A","7.5YR 2.5/1","7.5YR",2.5,1,26.64802358,5.284818122,68.0671583,"Sandy Loam",8.89,12.7,3.81,50.38251366,0.222923195,6.000783497,0.200026117,1.47123903,0.519593827,2.716311963,1.269230769,0.034795811,0.424579591,"#39302BFF"
"3","2020-09","DB Upland B1","DB","KW-4U",25.7792,1.628008,"4 Upland","3B","B1","4 UplandB","4 Upland1B","10YR 4/3","10YR",4,3,23.68281597,9.174060111,67.14312392,"Sandy Loam",12.7,25.4,12.7,18.81100266,0.227124999,3.401607085,0.113386903,1.577460617,0.489025172,2.351829532,1.5,0.024948568,0.41058288,"#755D41FF"
"4","2020-09","DB Upland B2","DB","KW-4U",25.7792,1.628008,"4 Upland","3B","B2","4 UplandB","4 Upland1B","10YR 5/4","10YR",5,4,21.28069307,13.62169967,65.09760726,"Sandy Loam",25.4,55.88,30.48,14.73684211,0.01,1.619063802,0.053968793,1.762522234,0.401680202,0.864697239,3,0.090040718,0.310924677,"#947650FF"
"5","2020-09","DB Transition O","DB","KW-3T",19.2024,1.423416,"3 Transition","1O","O","3 TransitionO","3 Transition3O","7.5YR 2.5/2","7.5YR",2.5,2,NA,NA,NA,"Organic",0,8.001,8.001,120.9386282,1.131388175,16.13796177,0.537932059,1.498164436,0.476355522,2.082047316,1.4,0.050983477,0.42968943,"#3F2E23FF"
"6","2020-09","DB Transition A1","DB","KW-3T",19.2024,1.423416,"3 Transition","2A","A1","3 TransitionA","3 Transition2A","7.5YR 2.5/1","7.5YR",2.5,1,7.686612139,9.38097288,82.93241498,"Loamy Sand",8.001,12.9794,4.9784,50.23310023,0.569834615,11.05083496,0.368361165,1.467436266,0.520276756,2.931905155,1.230769231,0.037657978,0.442831117,"#39302BFF"
"7","2020-09","DB Transition A2","DB","KW-3T",19.2024,1.423416,"3 Transition","2A","A2","3 TransitionA","3 Transition2A","7.5YR 3/1","7.5YR",3,1,29.59650804,7.537527946,62.86596402,"Sandy Loam",12.9794,19.05,6.0706,36.39960435,0.315275339,5.3861134,0.179537113,1.515232999,0.518586528,2.970602142,1.269230769,0.021237388,0.40731803,"#51463FFF"
"8","2020-09","DB Transition B1","DB","KW-3T",19.2024,1.423416,"3 Transition","3B","B1","3 TransitionB","3 Transition1B","10YR 5/4","10YR",5,4,25.86646727,7.934774187,66.19875855,"Sandy Loam",19.05,36.068,17.018,26.99767261,0.177316117,4.515818595,0.150527287,1.616066525,0.460786864,2.236582313,1.533333333,0.028098344,0.402553681,"#947650FF"
"9","2020-09","DB Transition B2","DB","KW-3T",19.2024,1.423416,"3 Transition","3B","B2","3 TransitionB","3 Transition1B","10YR 6/6","10YR",6,6,24.40971451,17.51755983,58.07272566,"Sandy Loam",36.068,55.88,19.812,20.67669173,0.01,1.951766188,0.065058873,1.799379717,0.414109105,1.07594855,2.5,0.094351818,0.326495925,"#B88E51FF"
"10","2020-09","DB Edge O","DB","KW-2E",13.4112,0.816864,"2 Edge","1O","O","2 EdgeO","2 Edge3O","10YR 2/2","10YR",2,2,26.21531431,4.088627003,69.69605868,"Sandy Loam",0,12.7,12.7,109.0490798,0.297505211,5.272936048,0.175764535,1.45045388,0.52422462,2.636102519,1.217391304,0.037923126,0.543664059,"#3D2F21FF"
