"","Month","Sample_Name","wetland","station","station_distance","ground_elevation","Point","Generic_Horizon","Horizon","Generic_Name","Number_Name","Munsell_Color","Hue","Value","Chroma","Percent_Silt","Percent_Clay","Percent_Sand","Texture","Horizon_Start_cm","Horizon_End_cm","Layer_Thickness_cm","Percent_Soil_Moisture_notin","ETDN_mgN_L","EOC_mgC_L","EOC._mgC_gsoil","FI","HIX","SUVA254_L_mgm","SSR","Percent_Protein","Percent_RI","soil_color"
"1","2020-09","QB Upland O1","QB","KW-4U",44.9288,1.503724,"4 Upland","1O","O1","4 UplandO","4 Upland3O","7.5YR 2.5/2","7.5YR",2.5,2,NA,NA,NA,"Organic",0,5.08,5.08,74.03993856,0.996580305,16.67262719,0.55575424,1.48434943,0.46638005,1.847339333,1.333333333,0.06051455,0.494399738,"#3F2E23FF"
"2","2020-09","QB Upland O2","QB","KW-4U",44.9288,1.503724,"4 Upland","1O","O2","4 UplandO","4 Upland3O","10YR 3/2","10YR",3,2,14.09980705,0.776136168,85.12405678,"Loamy Sand",5.08,8.89,3.81,19.55193483,0.325867386,6.777414287,0.22591381,1.491259654,0.507886194,2.685389919,1.357142857,0.035218943,0.467021301,"#554636FF"
"3","2020-09","QB Upland A","QB","KW-4U",44.9288,1.503724,"4 Upland","2A","A","4 UplandA","4 Upland2A","10YR 4/3","10YR",4,3,11.88230981,5.447846013,82.66984418,"Loamy Sand",8.89,25.4,16.51,15.17436381,0.167074221,2.993778354,0.099792612,1.562361333,0.507465452,2.572000693,1.416666667,0.031593288,0.4795901,"#755D41FF"
"4","2020-09","QB Upland B","QB","KW-4U",44.9288,1.503724,"4 Upland","3B","B","4 UplandB","4 Upland1B","2.5Y 6/4","2.5Y",6,4,10.54229342,7.80222597,81.65548061,"Loamy Sand",25.4,50.8,25.4,16.90487925,0.01,1.764438159,0.058814605,1.713974137,0.404865748,1.246855827,4.5,0.064765132,0.413845601,"#A99264FF"
"5","2020-09","QB Trasition O","QB","KW-3T",35.3328,0.972306,"3 Transition","1O","O","3 TransitionO","3 Transition3O","7.5YR 2.5/2","7.5YR",2.5,2,NA,NA,NA,"Organic",0,10.16,10.16,185.3488372,0.795068802,19.32839228,0.644279743,1.442173346,0.510895041,2.048799478,1.466666667,0.050939049,0.476775947,"#3F2E23FF"
"6","2020-09","QB Transition A","QB","KW-3T",35.3328,0.972306,"3 Transition","2A","A","3 TransitionA","3 Transition2A","10YR 2/1","10YR",2,1,12.47312023,6.978353607,80.54852617,"Loamy Sand",10.16,30.48,20.32,37.92085056,0.238855034,4.812421309,0.160414044,1.501065545,0.558397583,2.493547267,1.3,0.029988093,0.483486972,"#38302AFF"
"7","2020-09","QB Transition B","QB","KW-3T",35.3328,0.972306,"3 Transition","3B","B","3 TransitionB","3 Transition1B","10YR 4/1","10YR",4,1,11.41808195,13.93307798,74.64884007,"Sandy Loam",30.48,45.72,15.24,24.57081545,0.01,3.188911718,0.106297057,1.610194137,0.422759878,1.567933026,1.571428571,0.065988875,0.421847937,"#686057FF"
"8","2020-09","QB Edge O","QB","KW-2E",25.8312,0.592816,"2 Edge","1O","O","2 EdgeO","2 Edge3O","10YR 2/2","10YR",2,2,NA,NA,NA,"Organic",0,7.62,7.62,285.3035144,0.596796189,12.39725518,0.413241839,1.4998919,0.498499884,2.113371034,1.4,0.051296742,0.477834786,"#3D2F21FF"
"9","2020-09","QB Edge A","QB","KW-2E",25.8312,0.592816,"2 Edge","2A","A","2 EdgeA","2 Edge2A","10YR 2/1","10YR",2,1,4.794523211,7.907849972,87.29762682,"Loamy Sand",7.62,45.72,38.1,73.3997155,0.402025079,5.497339417,0.183244647,1.468868878,0.584221423,2.382970926,1.227272727,0.025430769,0.467054885,"#38302AFF"
"10","2020-09","QB Wetalnd O","QB","KW-1W",19.0312,0.39165658,"1 Wetland","1O","O","1 WetlandO/A","1 Wetland3O/A","10YR 2/2","10YR",2,2,NA,NA,NA,"Organic",0,5.08,5.08,248.3695652,0.39545976,7.690638432,0.256354614,1.515861601,0.531060398,2.600564332,1.25,0.029440021,0.472324009,"#3D2F21FF"
"11","2020-09","QB Wetland A","QB","KW-1W",19.0312,0.39165658,"1 Wetland","2A","A","1 WetlandO/A","1 Wetland3O/A","10YR 2/1","10YR",2,1,15.56859251,8.092924742,76.33848274,"Sandy Loam",5.08,48.26,43.18,117.0644391,0.559067493,7.435013725,0.247833791,1.47607243,0.568231775,2.434427248,1.24137931,0.020869089,0.472839414,"#38302AFF"
