"","Month","Sample_Name","wetland","station","station_distance","ground_elevation","Point","Generic_Horizon","Horizon","Generic_Name","Number_Name","Munsell_Color","Hue","Value","Chroma","Percent_Silt","Percent_Clay","Percent_Sand","Texture","Horizon_Start_cm","Horizon_End_cm","Layer_Thickness_cm","Percent_Soil_Moisture_notin","ETDN_mgN_L","EOC_mgC_L","EOC._mgC_gsoil","FI","HIX","SUVA254_L_mgm","SSR","Percent_Protein","Percent_RI","soil_color"
"1","2020-09","TB Upland O","TB","KW-4U",47.3296,1.556012444,"4 Upland","1O","O","4 UplandO","4 Upland3O","7.5YR 2.5/2","7.5YR",2.5,2,NA,NA,NA,"Organic",0,7.62,7.62,62.21628838,0.691511848,12.13967914,0.404655971,1.475094731,0.484129756,1.960513102,1.444444444,0.055080194,0.526253621,"#3F2E23FF"
"2","2020-09","TB Upland A","TB","KW-4U",47.3296,1.556012444,"4 Upland","2A","A","4 UplandA","4 Upland2A","2.5Y 3/3","2.5Y",3,3,12.85690862,3.573942108,83.56914927,"Loamy Sand",7.62,20.32,12.7,16.97944593,0.285074875,5.512950087,0.183765003,1.545464878,0.507988036,2.321805893,1.4,0.038676108,0.456321434,"#56462AFF"
"3","2020-09","TB Upland B","TB","KW-4U",47.3296,1.556012444,"4 Upland","3B","B","4 UplandB","4 Upland1B","2.5Y 5/4","2.5Y",5,4,11.8148722,5.416926965,82.76820084,"Loamy Sand",20.32,43.18,22.86,21.73389524,0.01,1.795659497,0.059855317,1.731289396,0.438228784,1.058107065,3,0.041245024,0.429721269,"#8F784CFF"
"4","2020-09","TB Transition O","TB","KW-3T",40.666416,1.200912,"3 Transition","1O","O","3 TransitionO","3 Transition3O","10YR 2/2","10YR",2,2,NA,NA,NA,"Organic",0,7.62,7.62,102.3294509,0.741845955,18.51273481,0.61709116,1.480139246,0.529395089,2.527989542,1.333333333,0.03371357,0.446618126,"#3D2F21FF"
"5","2020-09","TB Transition A","TB","KW-3T",40.666416,1.200912,"3 Transition","2A","A","3 TransitionA","3 Transition2A","10YR 3/1","10YR",3,1,17.59075908,3.592807557,78.81643337,"Loamy Sand",7.62,12.7,5.08,46.72897196,0.311686299,9.113160657,0.303772022,1.476268117,0.532410624,2.765231619,1.238095238,0.02638848,0.422574076,"#50473FFF"
"6","2020-09","TB Transition B","TB","KW-3T",40.666416,1.200912,"3 Transition","3B","B","3 TransitionB","3 Transition1B","2.5Y 3/1","2.5Y",3,1,20.92493505,3.686257988,75.38880697,"Loamy Sand",12.7,38.1,25.4,27.48538012,0.206816281,3.138177043,0.104605901,1.622098667,0.486884257,1.880072386,1.75,0.051172231,0.452790107,"#4E483FFF"
"7","2020-09","TB Edge O","TB","KW-2E",36.2712,0.816864,"2 Edge","1O","O","2 EdgeO","2 Edge3O","10YR 2/2","10YR",2,2,9.182240099,3.994533828,86.82322607,"Loamy Sand",0,5.08,5.08,143.1192661,0.37269999,5.8095528,0.19365176,1.508509387,0.505256009,2.375397982,1.318181818,0.044552202,0.487889305,"#3D2F21FF"
"8","2020-09","TB Edge A","TB","KW-2E",36.2712,0.816864,"2 Edge","2A","A","2 EdgeA","2 Edge2A","10YR 2/1","10YR",2,1,20.47285098,7.888621478,71.63852755,"Sandy Loam",5.08,38.1,33.02,42.30769231,0.40307553,3.563567777,0.118785593,1.611462929,0.500870493,2.301064695,1.307692308,0.036439068,0.467107148,"#38302AFF"
"9","2020-09","TB Wetland O","TB","KW-1W",32.6136,0.618744,"1 Wetland","1O","O","1 WetlandO/A","1 Wetland3O/A","10YR 2/2","10YR",2,2,49.14501755,19.75206447,31.10291798,"Loam",0,15.24,15.24,73.87387387,0.357993677,5.899314148,0.196643805,1.532733569,0.518390605,2.593521826,1.347826087,0.028553082,0.458170969,"#3D2F21FF"
"10","2020-09","TB Wetland A","TB","KW-1W",32.6136,0.618744,"1 Wetland","2A","A","1 WetlandO/A","1 Wetland3O/A","10YR 3/1","10YR",3,1,22.64869379,12.90882341,64.4424828,"Sandy Loam",15.24,43.18,27.94,33.72340426,0.297767824,3.949931839,0.131664395,1.624872677,0.500684983,2.227886546,1.307692308,0.03031209,0.425623642,"#50473FFF"
