wetland,station,n_observations,O_dur_day,O_percent_sat,O_n_events,A_dur_day,A_percent_sat,A_n_events,B_dur_day,B_percent_sat,B_n_events
DB,KW-1W,365,293,0.8027397,0,293,0.8027397260273973,0,297,0.8136986301369863,1
DB,KW-2E,365,256,0.7013698630136986,1,274,0.7506849315068493,0,292,0.8,0
DB,KW-3T,365,0,0,0,0,0,0,171,0.4684931506849315,6
DB,KW-4U,365,0,0,0,0,0,0,4,0.010958904109589041,3
ND,KW-1W,365,295,0.8082192,0,295,0.8082191780821918,0,309,0.8465753424657534,4
ND,KW-2E,365,264,0.7232877,0,264,0.7232876712328767,0,292,0.8,0
ND,KW-3T,365,0,0,0,0,0,0,166,0.4547945205479452,6
ND,KW-4U,365,0,0,0,0,0,0,0,0,0
QB,KW-1W,365,216,0.5917808219178082,2,335,0.9178082191780822,1,0,0,0
QB,KW-2E,365,160,0.4383561643835616,4,287,0.7863013698630137,2,0,0,0
QB,KW-3T,365,0,0,0,80,0.2191780821917808,5,180,0.4931506849315068,4
QB,KW-4U,365,0,0,0,0,0,0,0,0,0
TB,KW-1W,364,251,0.6895604395604396,4,283,0.7774725274725275,0,0,0,0
TB,KW-2E,364,143,0.39285714285714285,5,254,0.6978021978021978,2,0,0,0
TB,KW-3T,364,0,0,0,0,0,0,30,0.08241758241758242,10
TB,KW-4U,364,0,0,0,0,0,0,0,0,0
