wetland,station,min_depth_m,mean_depth_m,median_depth_m,max_depth_m,dur_day,n_events
DB,KW-1W,0.375188321780496,0.40135559403943744,0.39009657866123,0.472460450560652,31,1
DB,KW-2E,0.0795323217804961,0.10569959403943736,0.09444057866123,0.176804450560652,31,1
DB,KW-3T,-0.541730052322569,-0.49724033721891314,-0.512491145184914,-0.396740500419229,10,1
DB,KW-4U,-0.757114141692151,-0.6993678697839597,-0.715403939517499,-0.579128242949371,0,0
ND,KW-1W,0.619707790689772,0.6505819672486928,0.633339713897384,0.734626665987088,31,1
ND,KW-2E,0.173398984689772,0.20427316124869282,0.187030907897384,0.288317859987088,31,1
ND,KW-3T,-0.648881139481001,-0.5911277906966295,-0.619307601410442,-0.463737609472713,3,1
ND,KW-4U,-1.07221746686442,-1.0108234263308453,-1.04049813285151,-0.876796128094462,0,0
QB,KW-1W,0.0980384590757727,0.1296320504845832,0.112375445144411,0.206027755711858,31,1
QB,KW-2E,-0.0807436411868041,-0.054149954825138465,-0.0680810415233274,0.00486833571185841,31,1
QB,KW-3T,-0.391505182455272,-0.34934694221126805,-0.374113391489156,-0.245720077042004,31,1
QB,KW-4U,-0.892239120625213,-0.8426518345006743,-0.872295610601427,-0.717476973156643,0,0
TB,KW-1W,0.159005108053007,0.17889014827967947,0.170550512402311,0.226424620455318,31,1
TB,KW-2E,-0.0465857910103397,-0.023210963178978822,-0.032673634887719,0.0283046204553176,31,1
TB,KW-3T,-0.47610568749921,-0.4418179923597744,-0.46013604564455,-0.353229494641528,31,1
TB,KW-4U,-0.901027279330194,-0.8494094886601611,-0.880355726973331,-0.704154666236996,0,0
